Decimal:		|	Hex:
---------------------------------
15bit	24bit	|	15bit	24bit
				|	
31		255		|	1F		FF
30		247		|	1E		F7
29		239		|	1D		EF
28		230		|	1C		E6
27		222		|	1B		DE
26		214		|	1A		D6
25		206		|	19		CE
24		197		|	18		C5
23		189		|	17		BD
22		181		|	16		B5
21		173		|	15		AD
20		165		|	14		A5
19		156		|	13		9C
18		148		|	12		94
17		140		|	11		8C
16		132		|	10		84
15		123		|	0F		7B
14		115		|	0E		73
13		107		|	0D		6B
12		99		|	0C		63
11		90		|	0B		5A
10		82		|	0A		52
9		74		|	09		4A
8		66		|	08		42
7		58		|	07		3A
6		49		|	06		31
5		41		|	05		29
4		33		|	04		21
3		25		|	03		19
2		16		|	02		10
1		8		|	01		08
0		0		|	00		00
